"uniqid","yrint","yrborn","female","race","marital","educ","realrinc","health"
19823,1986,1958,1,1,1,13,7644,NA
52397,2008,1926,0,1,1,18,480144.47,3
49185,2006,1963,0,1,1,10,10659.375,2
24936,1990,1936,0,1,1,16,103206,3
35898,1998,1954,1,3,1,12,9473,4
26680,1991,1956,1,3,4,12,13579,NA
11021,1980,1944,0,1,1,12,24547,4
24862,1989,1948,0,1,1,16,80690,4
22775,1988,1960,1,1,5,16,10857,NA
40077,2000,1977,1,3,1,14,15793,3
41371,2002,1978,1,1,1,13,8603.375,3
47974,2006,1974,1,3,5,12,18476.25,3
41757,2002,1949,0,1,1,11,28156.5,3
16405,1984,1953,1,1,3,14,8254,3
30463,1994,1961,0,1,1,16,42020,3
37179,1998,1951,0,1,3,11,31005,4
8141,1977,1947,0,1,1,13,36114,3
33575,1996,1948,0,1,1,12,11781,NA
20406,1987,1961,0,1,5,18,18750,3
31401,1994,1972,1,1,5,13,4202,2
52165,2008,1961,0,3,4,12,10040.625,NA
4246,1974,1937,1,1,1,13,11103,3
13325,1982,1957,1,1,3,13,9042,4
31063,1994,1958,0,1,5,12,17954,NA
28818,1993,1967,0,1,1,13,10808,3
39742,2000,1969,1,2,5,16,18287,4
23274,1988,1968,1,1,5,13,483,3
22168,1988,1947,0,1,1,20,83666,4
17646,1985,1965,0,1,5,11,5806,4
25900,1990,1960,1,1,3,12,9980,3
17524,1985,1953,1,1,3,14,6861,4
7482,1976,1916,0,1,3,12,1019,2
40980,2002,1982,0,1,5,9,312.85,NA
47920,2006,1971,0,1,1,12,21318.75,NA
18091,1985,1913,0,1,5,13,96036,4
27059,1991,1929,0,1,1,11,15668,3
30179,1994,1963,1,1,1,15,382,4
24528,1989,1966,0,1,1,10,5102,3
49689,2006,1969,0,3,1,16,31267.5,3
46117,2004,1960,1,2,1,14,11321.25,NA
44180,2004,1960,0,1,3,14,27171,NA
5379,1975,1912,0,2,1,13,20011,3
19268,1986,1959,1,1,5,15,24207,NA
47416,2006,1960,1,2,5,12,18476.25,4
52606,2008,1955,0,1,1,12,7363.125,NA
35661,1998,1953,0,1,1,19,150054,2
13807,1982,1948,1,2,1,12,19591,3
10404,1978,1929,0,1,1,12,33926,NA
34469,1996,1965,1,1,3,19,27188,4
40473,2000,1941,1,1,1,12,14131,4
54198,2010,1968,0,1,3,13,51800,3
41469,2002,1966,0,1,1,14,51620.25,NA
5717,1975,1945,0,1,5,12,16676,3
40547,2000,1936,1,1,1,12,1330,4
10846,1980,1941,0,1,1,16,35121,3
13219,1982,1955,0,1,1,16,16577,3
10043,1978,1952,1,1,5,16,20355,NA
52951,2008,1981,0,1,1,16,10040.625,3
5423,1975,1931,0,1,1,12,16676,3
19880,1986,1965,1,2,5,14,4587,NA
23236,1988,1944,0,1,1,13,26538,NA
13712,1982,1932,1,2,4,16,6631,4
13398,1982,1920,0,1,1,12,7836,2
41262,2002,1983,1,2,5,12,312.85,NA
35154,1996,1945,0,1,1,16,48938,3
9102,1977,1936,1,1,1,12,14446,3
40023,2000,1978,0,1,5,15,2992,3
30631,1994,1938,0,1,1,18,42020,3
46720,2006,1955,0,2,1,13,38373.75,3
32721,1996,1958,0,2,3,17,19938,4
46800,2006,1983,1,2,5,13,6395.625,3
38310,2000,1933,0,1,5,20,36575,NA
41520,2002,1972,0,1,5,12,11731.875,2
8042,1977,1944,0,1,1,19,40930,4
42925,2002,1937,0,1,5,12,20335.25,3
14719,1983,1957,0,1,1,12,18459,NA
3866,1974,1951,1,1,5,14,11103,3
26675,1991,1969,1,1,5,12,13579,3
29227,1993,1957,0,1,1,10,25545,NA
40005,2000,1952,0,1,1,18,54862,3
34193,1996,1949,0,1,1,15,15406,NA
48591,2006,1975,1,1,5,16,15633.75,4
13364,1982,1941,1,1,1,12,16577,3
53603,2010,1973,1,1,5,16,23310,NA
10475,1978,1912,0,1,1,16,16284,NA
45825,2004,1970,0,1,3,10,19623.5,3
52404,2008,1950,1,1,1,12,8701.875,NA
25314,1990,1950,0,1,1,16,24395,NA
7984,1977,1940,0,1,1,18,72229,4
8066,1977,1927,1,1,1,10,3852,4
41324,2002,1971,1,1,5,9,10167.625,3
26973,1991,1950,0,1,4,12,13579,NA
33820,1996,1972,0,1,4,15,1450,3
19911,1986,1946,1,1,3,11,4587,NA
46060,2004,1972,1,1,2,14,301.9,2
39526,2000,1976,0,1,1,12,24937,4
41700,2002,1969,0,1,5,16,42234.75,4
6200,1976,1924,0,1,1,11,25465,3
12308,1982,1933,0,1,1,12,28030,4
22194,1988,1925,1,1,1,12,3378,NA
37954,1998,1977,0,1,5,14,2411,4
31723,1994,1950,0,1,5,12,34380,4
17151,1985,1963,0,1,5,12,11876,4
16141,1984,1959,1,1,1,16,20635,4
48536,2006,1960,0,1,3,11,12080.625,3
8198,1977,1921,1,1,1,11,3852,3
16788,1984,1926,0,1,1,11,15132,2
18944,1986,1961,0,1,5,17,3567,NA
9131,1978,1934,0,1,1,12,38449,NA
26299,1991,1969,0,1,5,14,1671,NA
4693,1975,1932,1,1,1,12,7782,3
3192,1974,1908,1,1,3,11,4935,2
33140,1996,1956,0,1,3,12,19938,4
53084,2010,1986,0,1,5,17,9712.5,4
22391,1988,1967,0,1,5,12,10857,4
33404,1996,1936,1,1,2,12,19938,4
41823,2002,1950,1,1,1,16,14860.375,4
30921,1994,1961,1,1,1,12,8595,NA
11869,1980,1959,0,1,5,12,16994,3
19340,1986,1931,1,1,2,12,38222,NA
54630,2010,1969,0,1,1,13,51800,4
29467,1994,1950,0,1,1,19,97684,4
41495,2002,1968,1,1,1,12,10167.625,4
36167,1998,1951,0,1,1,12,16363,2
41834,2002,1958,0,1,1,12,20335.25,NA
19816,1986,1921,0,1,1,12,24207,NA
8357,1977,1931,0,1,1,16,72229,4
13339,1982,1957,1,1,5,15,603,4
